"sales_id","sales_rep","email","brands","plant_cost","unit_price","quantity","costs","profit","countries","region","months","years"
"10120","Parent","parentty@uk.com","beta malt","80.00","150.00",731,"109650.00","51170.00","Senegal","west","August",2017
"10121","Gill","gillhell@uk.com","grand malt","90.00","150.00",898,"134700.00","53880.00","Ghana","southsouth","September",2017
"10122","Smith","smithMan@yahoo.com","trophy","150.00","200.00",860,"172000.00","43000.00","Nigeria","northwest","October",2018
"10123","Jones","jone.ai@yahoo.com","budweiser","250.00","500.00",859,"429500.00","214750.00","Togo","northeast ","November",2017
"10124","Sorvino","sorvi2000@gmail.com","castle lite","180.00","450.00",857,"385650.00","231390.00","Benin","northcentral ","December",2017
"10125","Jardine","jard@gmail.com","eagle lager","170.00","250.00",715,"178750.00","57200.00","Senegal","Southeast","January",2018
"10126","Andrews","andy@gmail.com","hero","150.00","200.00",999,"199800.00","49950.00","Ghana","west","February",2018
"10127","Howard","howard_freeman@yahoo.com","beta malt","80.00","150.00",982,"147300.00","68740.00","Nigeria","southsouth","March",2017
"10128","Gill","gillhell@uk.com","grand malt","90.00","150.00",920,"138000.00","55200.00","Togo","northwest","April",2018
"10129","Gill","gillhell@uk.com","trophy","150.00","200.00",875,"175000.00","43750.00","Benin","northeast ","May",2017
"10130","Kivell","kivel_go@yahoo.com","budweiser","250.00","500.00",945,"472500.00","236250.00","Senegal","northcentral ","June",2019
"10131","Jones","jone.ai@yahoo.com","castle lite","180.00","450.00",794,"357300.00","214380.00","Ghana","Southeast","July",2019
"10132","Morgan","morganny@gmail.com","eagle lager","170.00","250.00",826,"206500.00","66080.00","Nigeria","west","August",2017
"10133","Kivell","kivel_go@yahoo.com","hero","150.00","200.00",1000,"200000.00","50000.00","Togo","southsouth","September",2019
"10134","Sorvino","sorvi2000@gmail.com","beta malt","80.00","150.00",804,"120600.00","56280.00","Benin","northwest","October",2018
"10135","Gill","gillhell@uk.com","grand malt","90.00","150.00",890,"133500.00","53400.00","Senegal","northeast ","November",2017
"10136","Sorvino","sorvi2000@gmail.com","trophy","150.00","200.00",870,"174000.00","43500.00","Ghana","northcentral ","December",2017
"10137","Thompson","thomp@uk.com","budweiser","250.00","500.00",821,"410500.00","205250.00","Nigeria","Southeast","January",2017
"10138","Andrews","andy@gmail.com","castle lite","180.00","450.00",950,"427500.00","256500.00","Togo","west","February",2018
"10139","Jardine","jard@gmail.com","eagle lager","170.00","250.00",784,"196000.00","62720.00","Benin","southsouth","March",2019
"10140","Jardine","jard@gmail.com","hero","150.00","200.00",999,"199800.00","49950.00","Senegal","northwest","April",2019
"10141","Andrews","andy@gmail.com","beta malt","80.00","150.00",894,"134100.00","62580.00","Ghana","northeast ","May",2019
"10142","Jardine","jard@gmail.com","grand malt","90.00","150.00",827,"124050.00","49620.00","Nigeria","northcentral ","June",2017
"10143","Gill","gillhell@uk.com","trophy","150.00","200.00",779,"155800.00","38950.00","Togo","Southeast","July",2018
"10144","Sorvino","sorvi2000@gmail.com","budweiser","250.00","500.00",835,"417500.00","208750.00","Benin","west","August",2017
"10145","Jones","jone.ai@yahoo.com","castle lite","180.00","450.00",801,"360450.00","216270.00","Senegal","southsouth","September",2018
"10146","Andrews","andy@gmail.com","eagle lager","170.00","250.00",710,"177500.00","56800.00","Ghana","northwest","October",2017
"10147","Jardine","jard@gmail.com","hero","150.00","200.00",952,"190400.00","47600.00","Nigeria","northeast ","November",2017
"10148","Thompson","thomp@uk.com","beta malt","80.00","150.00",891,"133650.00","62370.00","Togo","northcentral ","December",2017
"10149","Jones","jone.ai@yahoo.com","grand malt","90.00","150.00",781,"117150.00","46860.00","Benin","Southeast","January",2018
"10150","Morgan","morganny@gmail.com","trophy","150.00","200.00",845,"169000.00","42250.00","Senegal","west","February",2019
"10151","Howard","howard_freeman@yahoo.com","budweiser","250.00","500.00",719,"359500.00","179750.00","Ghana","southsouth","March",2018
"10152","Parent","parentty@uk.com","castle lite","180.00","450.00",878,"395100.00","237060.00","Nigeria","northwest","April",2019
"10153","Jones","jone.ai@yahoo.com","eagle lager","170.00","250.00",832,"208000.00","66560.00","Togo","northeast ","May",2018
"10154","Smith","smithMan@yahoo.com","hero","150.00","200.00",766,"153200.00","38300.00","Benin","northcentral ","June",2017
"10155","Jones","jone.ai@yahoo.com","beta malt","80.00","150.00",726,"108900.00","50820.00","Senegal","Southeast","July",2018
"10156","Morgan","morganny@gmail.com","grand malt","90.00","150.00",962,"144300.00","57720.00","Ghana","west","August",2017
"10157","Jones","jone.ai@yahoo.com","trophy","150.00","200.00",920,"184000.00","46000.00","Nigeria","southsouth","September",2018
"10158","Parent","parentty@uk.com","budweiser","250.00","500.00",776,"388000.00","194000.00","Togo","northwest","October",2017
"10159","Kivell","kivel_go@yahoo.com","castle lite","180.00","450.00",872,"392400.00","235440.00","Benin","northeast ","November",2018
"10160","Smith","smithMan@yahoo.com","eagle lager","170.00","250.00",831,"207750.00","66480.00","Senegal","northcentral ","December",2017
"10161","Parent","parentty@uk.com","hero","150.00","200.00",847,"169400.00","42350.00","Ghana","Southeast","January",2019
"10162","Gill","gillhell@uk.com","beta malt","80.00","150.00",931,"139650.00","65170.00","Nigeria","west","February",2018
"10163","Smith","smithMan@yahoo.com","grand malt","90.00","150.00",768,"115200.00","46080.00","Togo","southsouth","March",2017
"10164","Jones","jone.ai@yahoo.com","trophy","150.00","200.00",736,"147200.00","36800.00","Benin","northwest","April",2017
"10165","Sorvino","sorvi2000@gmail.com","budweiser","250.00","500.00",780,"390000.00","195000.00","Senegal","northeast ","May",2019
"10166","Jardine","jard@gmail.com","castle lite","180.00","450.00",918,"413100.00","247860.00","Ghana","northcentral ","June",2017
"10167","Andrews","andy@gmail.com","eagle lager","170.00","250.00",769,"192250.00","61520.00","Nigeria","Southeast","July",2019
"10168","Howard","howard_freeman@yahoo.com","hero","150.00","200.00",712,"142400.00","35600.00","Togo","west","August",2019
"10169","Gill","gillhell@uk.com","beta malt","80.00","150.00",768,"115200.00","53760.00","Benin","southsouth","September",2017
"10170","Gill","gillhell@uk.com","grand malt","90.00","150.00",940,"141000.00","56400.00","Senegal","northwest","October",2018
"10171","Kivell","kivel_go@yahoo.com","trophy","150.00","200.00",948,"189600.00","47400.00","Ghana","northeast ","November",2018
"10172","Jones","jone.ai@yahoo.com","budweiser","250.00","500.00",869,"434500.00","217250.00","Nigeria","northcentral ","December",2018
"10173","Morgan","morganny@gmail.com","castle lite","180.00","450.00",727,"327150.00","196290.00","Togo","Southeast","January",2019
"10174","Kivell","kivel_go@yahoo.com","eagle lager","170.00","250.00",833,"208250.00","66640.00","Benin","west","February",2018
"10175","Sorvino","sorvi2000@gmail.com","hero","150.00","200.00",974,"194800.00","48700.00","Senegal","southsouth","March",2018
"10176","Gill","gillhell@uk.com","beta malt","80.00","150.00",713,"106950.00","49910.00","Ghana","northwest","April",2017
"10177","Sorvino","sorvi2000@gmail.com","grand malt","90.00","150.00",729,"109350.00","43740.00","Nigeria","northeast ","May",2017
"10178","Thompson","thomp@uk.com","trophy","150.00","200.00",946,"189200.00","47300.00","Togo","northcentral ","June",2019
"10179","Andrews","andy@gmail.com","budweiser","250.00","500.00",739,"369500.00","184750.00","Benin","Southeast","July",2017
"10180","Jardine","jard@gmail.com","castle lite","180.00","450.00",795,"357750.00","214650.00","Senegal","west","August",2019
"10181","Jardine","jard@gmail.com","eagle lager","170.00","250.00",701,"175250.00","56080.00","Ghana","southsouth","September",2018
"10182","Andrews","andy@gmail.com","hero","150.00","200.00",773,"154600.00","38650.00","Nigeria","northwest","October",2019
"10183","Jones","jone.ai@yahoo.com","beta malt","80.00","150.00",801,"120150.00","56070.00","Togo","northeast ","November",2018
"10184","Morgan","morganny@gmail.com","grand malt","90.00","150.00",892,"133800.00","53520.00","Benin","northcentral ","December",2017
"10185","Kivell","kivel_go@yahoo.com","trophy","150.00","200.00",739,"147800.00","36950.00","Senegal","Southeast","January",2018
"10186","Sorvino","sorvi2000@gmail.com","budweiser","250.00","500.00",704,"352000.00","176000.00","Ghana","west","February",2018
"10187","Gill","gillhell@uk.com","castle lite","180.00","450.00",879,"395550.00","237330.00","Nigeria","southsouth","March",2018
"10188","Sorvino","sorvi2000@gmail.com","eagle lager","170.00","250.00",993,"248250.00","79440.00","Togo","northwest","April",2017
"10189","Thompson","thomp@uk.com","hero","150.00","200.00",820,"164000.00","41000.00","Benin","northeast ","May",2018
"10190","Andrews","andy@gmail.com","beta malt","80.00","150.00",869,"130350.00","60830.00","Senegal","northcentral ","June",2018
"10191","Jardine","jard@gmail.com","grand malt","90.00","150.00",902,"135300.00","54120.00","Ghana","Southeast","July",2019
"10192","Jardine","jard@gmail.com","trophy","150.00","200.00",981,"196200.00","49050.00","Nigeria","west","August",2019
"10193","Andrews","andy@gmail.com","budweiser","250.00","500.00",722,"361000.00","180500.00","Togo","southsouth","September",2017
"10194","Jardine","jard@gmail.com","castle lite","180.00","450.00",849,"382050.00","229230.00","Benin","northwest","October",2017
"10195","Gill","gillhell@uk.com","eagle lager","170.00","250.00",910,"227500.00","72800.00","Senegal","northeast ","November",2019
"10196","Sorvino","sorvi2000@gmail.com","hero","150.00","200.00",959,"191800.00","47950.00","Ghana","northcentral ","December",2018
"10197","Jones","jone.ai@yahoo.com","beta malt","80.00","150.00",896,"134400.00","62720.00","Nigeria","Southeast","January",2019
"10198","Andrews","andy@gmail.com","grand malt","90.00","150.00",856,"128400.00","51360.00","Togo","west","February",2017
"10199","Jardine","jard@gmail.com","trophy","150.00","200.00",817,"163400.00","40850.00","Benin","southsouth","March",2017
"10200","Thompson","thomp@uk.com","budweiser","250.00","500.00",729,"364500.00","182250.00","Senegal","northwest","April",2017
"10201","Jones","jone.ai@yahoo.com","castle lite","180.00","450.00",805,"362250.00","217350.00","Ghana","northeast ","May",2017
"10202","Morgan","morganny@gmail.com","eagle lager","170.00","250.00",828,"207000.00","66240.00","Nigeria","northcentral ","June",2019
"10203","Howard","howard_freeman@yahoo.com","hero","150.00","200.00",990,"198000.00","49500.00","Togo","Southeast","July",2019
"10204","Parent","parentty@uk.com","beta malt","80.00","150.00",831,"124650.00","58170.00","Benin","west","August",2017
"10205","Jones","jone.ai@yahoo.com","grand malt","90.00","150.00",903,"135450.00","54180.00","Senegal","southsouth","September",2019
"10206","Smith","smithMan@yahoo.com","trophy","150.00","200.00",751,"150200.00","37550.00","Ghana","northwest","October",2017
"10207","Jones","jone.ai@yahoo.com","budweiser","250.00","500.00",990,"495000.00","247500.00","Nigeria","northeast ","November",2019
"10208","Jardine","jard@gmail.com","castle lite","180.00","450.00",878,"395100.00","237060.00","Togo","northcentral ","December",2018
"10209","Gill","gillhell@uk.com","eagle lager","170.00","250.00",720,"180000.00","57600.00","Benin","Southeast","January",2017
"10210","Sorvino","sorvi2000@gmail.com","hero","150.00","200.00",777,"155400.00","38850.00","Senegal","west","February",2017
"10211","Jones","jone.ai@yahoo.com","beta malt","80.00","150.00",848,"127200.00","59360.00","Ghana","southsouth","March",2019
"10212","Andrews","andy@gmail.com","grand malt","90.00","150.00",874,"131100.00","52440.00","Nigeria","northwest","April",2017
"10213","Jardine","jard@gmail.com","trophy","150.00","200.00",739,"147800.00","36950.00","Togo","northeast ","May",2017
"10214","Thompson","thomp@uk.com","budweiser","250.00","500.00",704,"352000.00","176000.00","Benin","northcentral ","June",2018
"10215","Jones","jone.ai@yahoo.com","castle lite","180.00","450.00",855,"384750.00","230850.00","Senegal","Southeast","July",2019
"10216","Morgan","morganny@gmail.com","eagle lager","170.00","250.00",971,"242750.00","77680.00","Ghana","west","August",2018
"10217","Howard","howard_freeman@yahoo.com","hero","150.00","200.00",957,"191400.00","47850.00","Nigeria","southsouth","September",2019
"10218","Parent","parentty@uk.com","beta malt","80.00","150.00",769,"115350.00","53830.00","Togo","northwest","October",2017
"10219","Jones","jone.ai@yahoo.com","grand malt","90.00","150.00",710,"106500.00","42600.00","Benin","northeast ","November",2019
"10220","Smith","smithMan@yahoo.com","trophy","150.00","200.00",917,"183400.00","45850.00","Senegal","northcentral ","December",2019
"10221","Jones","jone.ai@yahoo.com","budweiser","250.00","500.00",727,"363500.00","181750.00","Ghana","Southeast","January",2017
"10222","Morgan","morganny@gmail.com","castle lite","180.00","450.00",768,"345600.00","207360.00","Nigeria","west","February",2018
"10223","Jones","jone.ai@yahoo.com","eagle lager","170.00","250.00",870,"217500.00","69600.00","Togo","southsouth","March",2019
"10224","Parent","parentty@uk.com","hero","150.00","200.00",914,"182800.00","45700.00","Benin","northwest","April",2019
"10225","Kivell","kivel_go@yahoo.com","beta malt","80.00","150.00",763,"114450.00","53410.00","Senegal","northeast ","May",2019
"10226","Smith","smithMan@yahoo.com","grand malt","90.00","150.00",951,"142650.00","57060.00","Ghana","northcentral ","June",2017
"10227","Parent","parentty@uk.com","trophy","150.00","200.00",810,"162000.00","40500.00","Nigeria","Southeast","July",2018
"10228","Gill","gillhell@uk.com","budweiser","250.00","500.00",886,"443000.00","221500.00","Togo","west","August",2019
"10229","Smith","smithMan@yahoo.com","castle lite","180.00","450.00",984,"442800.00","265680.00","Benin","southsouth","September",2018
"10230","Jones","jone.ai@yahoo.com","eagle lager","170.00","250.00",974,"243500.00","77920.00","Senegal","northwest","October",2017
"10231","Sorvino","sorvi2000@gmail.com","hero","150.00","200.00",901,"180200.00","45050.00","Ghana","northeast ","November",2019
"10232","Jardine","jard@gmail.com","beta malt","80.00","150.00",934,"140100.00","65380.00","Nigeria","northcentral ","December",2019
"10233","Andrews","andy@gmail.com","grand malt","90.00","150.00",832,"124800.00","49920.00","Togo","Southeast","January",2017
"10234","Howard","howard_freeman@yahoo.com","trophy","150.00","200.00",840,"168000.00","42000.00","Benin","west","February",2018
"10235","Gill","gillhell@uk.com","budweiser","250.00","500.00",966,"483000.00","241500.00","Senegal","southsouth","March",2017
"10236","Gill","gillhell@uk.com","castle lite","180.00","450.00",832,"374400.00","224640.00","Ghana","northwest","April",2018
"10237","Kivell","kivel_go@yahoo.com","eagle lager","170.00","250.00",968,"242000.00","77440.00","Nigeria","northeast ","May",2019
"10238","Jones","jone.ai@yahoo.com","hero","150.00","200.00",791,"158200.00","39550.00","Togo","northcentral ","June",2019
"10239","Morgan","morganny@gmail.com","beta malt","80.00","150.00",774,"116100.00","54180.00","Benin","Southeast","July",2018
"10240","Kivell","kivel_go@yahoo.com","grand malt","90.00","150.00",992,"148800.00","59520.00","Senegal","west","August",2017
"10241","Sorvino","sorvi2000@gmail.com","trophy","150.00","200.00",881,"176200.00","44050.00","Ghana","southsouth","September",2018
"10242","Gill","gillhell@uk.com","budweiser","250.00","500.00",975,"487500.00","243750.00","Nigeria","northwest","October",2017
"10243","Sorvino","sorvi2000@gmail.com","castle lite","180.00","450.00",733,"329850.00","197910.00","Togo","northeast ","November",2018
"10244","Thompson","thomp@uk.com","eagle lager","170.00","250.00",776,"194000.00","62080.00","Benin","northcentral ","December",2017
"10245","Andrews","andy@gmail.com","hero","150.00","200.00",924,"184800.00","46200.00","Senegal","Southeast","January",2019
"10246","Jardine","jard@gmail.com","beta malt","80.00","150.00",744,"111600.00","52080.00","Ghana","west","February",2019
"10247","Jardine","jard@gmail.com","grand malt","90.00","150.00",754,"113100.00","45240.00","Nigeria","southsouth","March",2019
"10248","Andrews","andy@gmail.com","trophy","150.00","200.00",792,"158400.00","39600.00","Togo","northwest","April",2019
"10249","Jardine","jard@gmail.com","budweiser","250.00","500.00",838,"419000.00","209500.00","Benin","northeast ","May",2017
"10250","Gill","gillhell@uk.com","castle lite","180.00","450.00",963,"433350.00","260010.00","Senegal","northcentral ","June",2017
"10251","Sorvino","sorvi2000@gmail.com","eagle lager","170.00","250.00",995,"248750.00","79600.00","Ghana","Southeast","July",2017
"10252","Jones","jone.ai@yahoo.com","hero","150.00","200.00",941,"188200.00","47050.00","Nigeria","west","August",2017
"10253","Andrews","andy@gmail.com","beta malt","80.00","150.00",930,"139500.00","65100.00","Togo","southsouth","September",2018
"10254","Jardine","jard@gmail.com","grand malt","90.00","150.00",780,"117000.00","46800.00","Benin","northwest","October",2019
"10255","Thompson","thomp@uk.com","trophy","150.00","200.00",729,"145800.00","36450.00","Senegal","northeast ","November",2019
"10256","Jones","jone.ai@yahoo.com","budweiser","250.00","500.00",909,"454500.00","227250.00","Ghana","northcentral ","December",2019
"10257","Morgan","morganny@gmail.com","castle lite","180.00","450.00",961,"432450.00","259470.00","Nigeria","Southeast","January",2018
"10258","Howard","howard_freeman@yahoo.com","eagle lager","170.00","250.00",729,"182250.00","58320.00","Togo","west","February",2018
"10259","Parent","parentty@uk.com","hero","150.00","200.00",944,"188800.00","47200.00","Benin","southsouth","March",2019
"10260","Jones","jone.ai@yahoo.com","beta malt","80.00","150.00",981,"147150.00","68670.00","Senegal","northwest","April",2017
"10261","Smith","smithMan@yahoo.com","grand malt","90.00","150.00",763,"114450.00","45780.00","Ghana","northeast ","May",2018
"10262","Jones","jone.ai@yahoo.com","trophy","150.00","200.00",885,"177000.00","44250.00","Nigeria","northcentral ","June",2017
"10263","Morgan","morganny@gmail.com","budweiser","250.00","500.00",854,"427000.00","213500.00","Togo","Southeast","July",2018
"10264","Jones","jone.ai@yahoo.com","castle lite","180.00","450.00",727,"327150.00","196290.00","Benin","west","August",2018
"10265","Parent","parentty@uk.com","eagle lager","170.00","250.00",991,"247750.00","79280.00","Senegal","southsouth","September",2018
"10266","Kivell","kivel_go@yahoo.com","hero","150.00","200.00",792,"158400.00","39600.00","Ghana","northwest","October",2019
"10267","Smith","smithMan@yahoo.com","beta malt","80.00","150.00",898,"134700.00","62860.00","Nigeria","northeast ","November",2019
"10268","Parent","parentty@uk.com","grand malt","90.00","150.00",945,"141750.00","56700.00","Togo","northcentral ","December",2019
"10269","Gill","gillhell@uk.com","trophy","150.00","200.00",814,"162800.00","40700.00","Benin","Southeast","January",2019
"10270","Smith","smithMan@yahoo.com","budweiser","250.00","500.00",863,"431500.00","215750.00","Senegal","west","February",2018
"10271","Jones","jone.ai@yahoo.com","castle lite","180.00","450.00",829,"373050.00","223830.00","Ghana","southsouth","March",2019
"10272","Sorvino","sorvi2000@gmail.com","eagle lager","170.00","250.00",747,"186750.00","59760.00","Nigeria","northwest","April",2017
"10273","Jardine","jard@gmail.com","hero","150.00","200.00",961,"192200.00","48050.00","Togo","northeast ","May",2018
"10274","Andrews","andy@gmail.com","beta malt","80.00","150.00",803,"120450.00","56210.00","Benin","northcentral ","June",2019
"10275","Howard","howard_freeman@yahoo.com","grand malt","90.00","150.00",875,"131250.00","52500.00","Senegal","Southeast","July",2017
"10276","Gill","gillhell@uk.com","trophy","150.00","200.00",750,"150000.00","37500.00","Ghana","west","August",2018
"10277","Gill","gillhell@uk.com","budweiser","250.00","500.00",850,"425000.00","212500.00","Nigeria","southsouth","September",2017
"10278","Kivell","kivel_go@yahoo.com","castle lite","180.00","450.00",710,"319500.00","191700.00","Togo","northwest","October",2018
"10279","Jones","jone.ai@yahoo.com","eagle lager","170.00","250.00",881,"220250.00","70480.00","Benin","northeast ","November",2017
"10280","Morgan","morganny@gmail.com","hero","150.00","200.00",777,"155400.00","38850.00","Senegal","northcentral ","December",2018
"10281","Kivell","kivel_go@yahoo.com","beta malt","80.00","150.00",708,"106200.00","49560.00","Ghana","Southeast","January",2017
"10282","Sorvino","sorvi2000@gmail.com","grand malt","90.00","150.00",996,"149400.00","59760.00","Nigeria","west","February",2019
"10283","Gill","gillhell@uk.com","trophy","150.00","200.00",870,"174000.00","43500.00","Togo","southsouth","March",2019
"10284","Sorvino","sorvi2000@gmail.com","budweiser","250.00","500.00",972,"486000.00","243000.00","Benin","northwest","April",2019
"10285","Thompson","thomp@uk.com","castle lite","180.00","450.00",989,"445050.00","267030.00","Senegal","northeast ","May",2018
"10286","Andrews","andy@gmail.com","eagle lager","170.00","250.00",936,"234000.00","74880.00","Ghana","northcentral ","June",2018
"10287","Jardine","jard@gmail.com","hero","150.00","200.00",1000,"200000.00","50000.00","Nigeria","Southeast","July",2017
"10288","Jardine","jard@gmail.com","beta malt","80.00","150.00",947,"142050.00","66290.00","Togo","west","August",2018
"10289","Andrews","andy@gmail.com","grand malt","90.00","150.00",762,"114300.00","45720.00","Benin","southsouth","September",2019
"10290","Jones","jone.ai@yahoo.com","trophy","150.00","200.00",742,"148400.00","37100.00","Senegal","northwest","October",2017
"10291","Morgan","morganny@gmail.com","budweiser","250.00","500.00",902,"451000.00","225500.00","Ghana","northeast ","November",2019
"10292","Kivell","kivel_go@yahoo.com","castle lite","180.00","450.00",840,"378000.00","226800.00","Nigeria","northcentral ","December",2018
"10293","Sorvino","sorvi2000@gmail.com","eagle lager","170.00","250.00",773,"193250.00","61840.00","Togo","Southeast","January",2017
"10294","Gill","gillhell@uk.com","hero","150.00","200.00",934,"186800.00","46700.00","Benin","west","February",2018
"10295","Sorvino","sorvi2000@gmail.com","beta malt","80.00","150.00",983,"147450.00","68810.00","Senegal","southsouth","March",2017
"10296","Thompson","thomp@uk.com","grand malt","90.00","150.00",729,"109350.00","43740.00","Ghana","northwest","April",2018
"10297","Andrews","andy@gmail.com","trophy","150.00","200.00",786,"157200.00","39300.00","Nigeria","northeast ","May",2017
"10298","Jardine","jard@gmail.com","budweiser","250.00","500.00",843,"421500.00","210750.00","Togo","northcentral ","June",2018
"10299","Jardine","jard@gmail.com","castle lite","180.00","450.00",897,"403650.00","242190.00","Benin","Southeast","July",2017
"10300","Andrews","andy@gmail.com","eagle lager","170.00","250.00",733,"183250.00","58640.00","Senegal","west","August",2018
"10301","Jardine","jard@gmail.com","hero","150.00","200.00",939,"187800.00","46950.00","Ghana","southsouth","September",2019
"10302","Gill","gillhell@uk.com","beta malt","80.00","150.00",836,"125400.00","58520.00","Nigeria","northwest","October",2017
"10303","Sorvino","sorvi2000@gmail.com","grand malt","90.00","150.00",874,"131100.00","52440.00","Togo","northeast ","November",2018
"10304","Jones","jone.ai@yahoo.com","trophy","150.00","200.00",764,"152800.00","38200.00","Benin","northcentral ","December",2018
"10305","Andrews","andy@gmail.com","budweiser","250.00","500.00",920,"460000.00","230000.00","Senegal","Southeast","January",2019
"10306","Jardine","jard@gmail.com","castle lite","180.00","450.00",950,"427500.00","256500.00","Ghana","west","February",2017
"10307","Thompson","thomp@uk.com","eagle lager","170.00","250.00",841,"210250.00","67280.00","Nigeria","southsouth","March",2017
"10308","Jones","jone.ai@yahoo.com","hero","150.00","200.00",801,"160200.00","40050.00","Togo","northwest","April",2017
"10309","Morgan","morganny@gmail.com","beta malt","80.00","150.00",867,"130050.00","60690.00","Benin","northeast ","May",2018
"10310","Howard","howard_freeman@yahoo.com","grand malt","90.00","150.00",721,"108150.00","43260.00","Senegal","northcentral ","June",2017
"10311","Parent","parentty@uk.com","trophy","150.00","200.00",755,"151000.00","37750.00","Ghana","Southeast","July",2017
"10312","Jones","jone.ai@yahoo.com","budweiser","250.00","500.00",937,"468500.00","234250.00","Nigeria","west","August",2018
"10313","Smith","smithMan@yahoo.com","castle lite","180.00","450.00",865,"389250.00","233550.00","Togo","southsouth","September",2017
"10314","Jones","jone.ai@yahoo.com","eagle lager","170.00","250.00",736,"184000.00","58880.00","Benin","northwest","October",2018
"10315","Jardine","jard@gmail.com","hero","150.00","200.00",982,"196400.00","49100.00","Senegal","northeast ","November",2017
"10316","Gill","gillhell@uk.com","beta malt","80.00","150.00",850,"127500.00","59500.00","Ghana","northcentral ","December",2017
"10317","Sorvino","sorvi2000@gmail.com","grand malt","90.00","150.00",754,"113100.00","45240.00","Nigeria","Southeast","January",2017
"10318","Jones","jone.ai@yahoo.com","trophy","150.00","200.00",912,"182400.00","45600.00","Togo","west","February",2018
"10319","Andrews","andy@gmail.com","budweiser","250.00","500.00",881,"440500.00","220250.00","Benin","southsouth","March",2017
"10320","Jardine","jard@gmail.com","castle lite","180.00","450.00",818,"368100.00","220860.00","Senegal","northwest","April",2017
"10321","Thompson","thomp@uk.com","eagle lager","170.00","250.00",781,"195250.00","62480.00","Ghana","northeast ","May",2017
"10322","Jones","jone.ai@yahoo.com","hero","150.00","200.00",910,"182000.00","45500.00","Nigeria","northcentral ","June",2018
"10323","Morgan","morganny@gmail.com","beta malt","80.00","150.00",704,"105600.00","49280.00","Togo","Southeast","July",2019
"10324","Howard","howard_freeman@yahoo.com","grand malt","90.00","150.00",824,"123600.00","49440.00","Benin","west","August",2018
"10325","Parent","parentty@uk.com","trophy","150.00","200.00",710,"142000.00","35500.00","Senegal","southsouth","September",2019
"10326","Jones","jone.ai@yahoo.com","budweiser","250.00","500.00",913,"456500.00","228250.00","Ghana","northwest","October",2018
"10327","Smith","smithMan@yahoo.com","castle lite","180.00","450.00",983,"442350.00","265410.00","Nigeria","northeast ","November",2018
"10328","Jones","jone.ai@yahoo.com","eagle lager","170.00","250.00",706,"176500.00","56480.00","Togo","northcentral ","December",2019
"10329","Morgan","morganny@gmail.com","hero","150.00","200.00",819,"163800.00","40950.00","Benin","Southeast","January",2018
"10330","Jones","jone.ai@yahoo.com","beta malt","80.00","150.00",762,"114300.00","53340.00","Senegal","west","February",2018
"10331","Parent","parentty@uk.com","grand malt","90.00","150.00",760,"114000.00","45600.00","Ghana","southsouth","March",2019
"10332","Kivell","kivel_go@yahoo.com","trophy","150.00","200.00",872,"174400.00","43600.00","Nigeria","northwest","April",2019
"10333","Smith","smithMan@yahoo.com","budweiser","250.00","500.00",723,"361500.00","180750.00","Togo","northeast ","May",2019
